,month,year,et,crop,name
2001-01-01,1,2001,19.348668381653646,1,Corn
2001-01-01,1,2001,18.776319813990686,176,Grass/Pasture
2001-01-01,1,2001,18.116706183696227,76,Walnuts
2001-01-01,1,2001,18.212271344822646,75,Almonds
2001-01-01,1,2001,17.16945208485231,36,Alfalfa
2001-01-01,1,2001,18.40828523236858,69,Grapes
2001-02-01,2,2001,24.408098729757164,1,Corn
2001-02-01,2,2001,23.158851274576573,176,Grass/Pasture
2001-02-01,2,2001,22.732729191279542,76,Walnuts
2001-02-01,2,2001,23.038276057577132,75,Almonds
2001-02-01,2,2001,22.868620620907915,36,Alfalfa
2001-02-01,2,2001,23.09643514262489,69,Grapes
2001-03-01,3,2001,56.17925191957217,1,Corn
2001-03-01,3,2001,56.24534747554714,176,Grass/Pasture
2001-03-01,3,2001,51.83833669204832,76,Walnuts
2001-03-01,3,2001,51.29573670173883,75,Almonds
2001-03-01,3,2001,49.728569946456396,36,Alfalfa
2001-03-01,3,2001,47.67501544509052,69,Grapes
2001-04-01,4,2001,61.25467117998626,1,Corn
2001-04-01,4,2001,65.54116360804589,176,Grass/Pasture
2001-04-01,4,2001,63.17631314284423,76,Walnuts
2001-04-01,4,2001,58.963768324255945,75,Almonds
2001-04-01,4,2001,53.56486508365253,36,Alfalfa
2001-04-01,4,2001,50.112561969336305,69,Grapes
2001-05-01,5,2001,49.509237083132234,1,Corn
2001-05-01,5,2001,41.33008189125822,176,Grass/Pasture
2001-05-01,5,2001,51.586458991104536,76,Walnuts
2001-05-01,5,2001,41.23537985166907,75,Almonds
2001-05-01,5,2001,37.82779760312236,36,Alfalfa
2001-05-01,5,2001,40.079639226198196,69,Grapes
2001-06-01,6,2001,51.99492641038947,1,Corn
2001-06-01,6,2001,32.99641085065168,176,Grass/Pasture
2001-06-01,6,2001,44.87496775205246,76,Walnuts
2001-06-01,6,2001,35.66596952104568,75,Almonds
2001-06-01,6,2001,33.65233731916985,36,Alfalfa
2001-06-01,6,2001,36.236330092874915,69,Grapes
2001-07-01,7,2001,79.83191506275327,1,Corn
2001-07-01,7,2001,37.069822405373465,176,Grass/Pasture
2001-07-01,7,2001,56.61002401733549,76,Walnuts
2001-07-01,7,2001,49.97636425193548,75,Almonds
2001-07-01,7,2001,47.28737852406597,36,Alfalfa
2001-07-01,7,2001,49.17587503544555,69,Grapes
2001-08-01,8,2001,75.57592452167373,1,Corn
2001-08-01,8,2001,32.84214569337191,176,Grass/Pasture
2001-08-01,8,2001,51.06162886734355,76,Walnuts
2001-08-01,8,2001,46.17676462256313,75,Almonds
2001-08-01,8,2001,45.570689193066045,36,Alfalfa
2001-08-01,8,2001,44.40537572596684,69,Grapes
2001-09-01,9,2001,47.6021511648055,1,Corn
2001-09-01,9,2001,26.40588570917745,176,Grass/Pasture
2001-09-01,9,2001,36.05396223990298,76,Walnuts
2001-09-01,9,2001,33.679812958538534,75,Almonds
2001-09-01,9,2001,33.81555220508028,36,Alfalfa
2001-09-01,9,2001,34.14177025184413,69,Grapes
2001-10-01,10,2001,30.198768416685716,1,Corn
2001-10-01,10,2001,20.868721014656867,176,Grass/Pasture
2001-10-01,10,2001,27.379975397801342,76,Walnuts
2001-10-01,10,2001,25.320575699308513,75,Almonds
2001-10-01,10,2001,24.236709172063534,36,Alfalfa
2001-10-01,10,2001,26.19943928964867,69,Grapes
2001-11-01,11,2001,21.27668879680581,1,Corn
2001-11-01,11,2001,18.196142743118425,176,Grass/Pasture
2001-11-01,11,2001,20.0099821599243,76,Walnuts
2001-11-01,11,2001,20.54794147235155,75,Almonds
2001-11-01,11,2001,18.73429905614098,36,Alfalfa
2001-11-01,11,2001,20.47946722546885,69,Grapes
2001-12-01,12,2001,15.312029403426271,1,Corn
2001-12-01,12,2001,15.121621582834743,176,Grass/Pasture
2001-12-01,12,2001,13.608779591256084,76,Walnuts
2001-12-01,12,2001,15.552091047698259,75,Almonds
2001-12-01,12,2001,14.274554157258658,36,Alfalfa
2001-12-01,12,2001,15.84123392612481,69,Grapes
2002-01-01,1,2002,18.80511683217444,1,Corn
2002-01-01,1,2002,20.395594887946064,176,Grass/Pasture
2002-01-01,1,2002,17.812691696911415,76,Walnuts
2002-01-01,1,2002,18.263782222342492,75,Almonds
2002-01-01,1,2002,16.580736623146095,36,Alfalfa
2002-01-01,1,2002,18.54074583097923,69,Grapes
2002-02-01,2,2002,30.88258791428346,1,Corn
2002-02-01,2,2002,30.209339742157564,176,Grass/Pasture
2002-02-01,2,2002,28.477949565286796,76,Walnuts
2002-02-01,2,2002,27.62820789759159,75,Almonds
2002-02-01,2,2002,25.150603240999175,36,Alfalfa
2002-02-01,2,2002,26.79994286250763,69,Grapes
2002-03-01,3,2002,48.72601053315205,1,Corn
2002-03-01,3,2002,47.05944343758127,176,Grass/Pasture
2002-03-01,3,2002,44.94644201013547,76,Walnuts
2002-03-01,3,2002,43.94562140315771,75,Almonds
2002-03-01,3,2002,40.99077530573836,36,Alfalfa
2002-03-01,3,2002,39.10398838219564,69,Grapes
2002-04-01,4,2002,62.14798025705002,1,Corn
2002-04-01,4,2002,57.9725684741375,176,Grass/Pasture
2002-04-01,4,2002,62.07792961559807,76,Walnuts
2002-04-01,4,2002,58.37533894336224,75,Almonds
2002-04-01,4,2002,53.068183407325776,36,Alfalfa
2002-04-01,4,2002,48.253826621181965,69,Grapes
2002-05-01,5,2002,61.987537398279365,1,Corn
2002-05-01,5,2002,49.259844404596414,176,Grass/Pasture
2002-05-01,5,2002,67.23735419303861,76,Walnuts
2002-05-01,5,2002,55.42671921149492,75,Almonds
2002-05-01,5,2002,50.26573441479342,36,Alfalfa
2002-05-01,5,2002,50.62772163428551,69,Grapes
2002-06-01,6,2002,65.97200247203256,1,Corn
2002-06-01,6,2002,36.3272028444099,176,Grass/Pasture
2002-06-01,6,2002,56.19538627276763,76,Walnuts
2002-06-01,6,2002,45.08653928464651,75,Almonds
2002-06-01,6,2002,43.07578115841864,36,Alfalfa
2002-06-01,6,2002,44.700851580820796,69,Grapes
2002-07-01,7,2002,81.56361718767837,1,Corn
2002-07-01,7,2002,32.64434380263074,176,Grass/Pasture
2002-07-01,7,2002,51.807502494144366,76,Walnuts
2002-07-01,7,2002,45.98791756245494,75,Almonds
2002-07-01,7,2002,45.004195140973174,36,Alfalfa
2002-07-01,7,2002,44.61418359511155,69,Grapes
2002-08-01,8,2002,70.13824871804688,1,Corn
2002-08-01,8,2002,27.849940227032473,176,Grass/Pasture
2002-08-01,8,2002,45.12566865386696,76,Walnuts
2002-08-01,8,2002,41.07449808196426,75,Almonds
2002-08-01,8,2002,40.935783270875376,36,Alfalfa
2002-08-01,8,2002,40.10587176187965,69,Grapes
2002-09-01,9,2002,45.05569916996327,1,Corn
2002-09-01,9,2002,23.038600286159497,176,Grass/Pasture
2002-09-01,9,2002,33.31047141608424,76,Walnuts
2002-09-01,9,2002,29.736501498073338,75,Almonds
2002-09-01,9,2002,30.731444832503534,36,Alfalfa
2002-09-01,9,2002,30.592224809113453,69,Grapes
2002-10-01,10,2002,31.87224811162704,1,Corn
2002-10-01,10,2002,20.734005367594108,176,Grass/Pasture
2002-10-01,10,2002,26.286269963128696,76,Walnuts
2002-10-01,10,2002,25.136273798391223,75,Almonds
2002-10-01,10,2002,25.528812197042956,36,Alfalfa
2002-10-01,10,2002,26.94675779219501,69,Grapes
2002-11-01,11,2002,19.52965454167717,1,Corn
2002-11-01,11,2002,16.99266204954746,176,Grass/Pasture
2002-11-01,11,2002,17.149975842722025,76,Walnuts
2002-11-01,11,2002,17.72756665492058,75,Almonds
2002-11-01,11,2002,16.966228340973082,36,Alfalfa
2002-11-01,11,2002,17.377468960757447,69,Grapes
2002-12-01,12,2002,17.967411866309224,1,Corn
2002-12-01,12,2002,17.098593226726308,176,Grass/Pasture
2002-12-01,12,2002,15.436069046053815,76,Walnuts
2002-12-01,12,2002,17.246206080806257,75,Almonds
2002-12-01,12,2002,17.1027268315008,36,Alfalfa
2002-12-01,12,2002,17.145404289084034,69,Grapes
2003-01-01,1,2003,18.727135057769196,1,Corn
2003-01-01,1,2003,22.620304424532645,176,Grass/Pasture
2003-01-01,1,2003,17.42997534261412,76,Walnuts
2003-01-01,1,2003,17.961681243634224,75,Almonds
2003-01-01,1,2003,17.71902545198053,36,Alfalfa
2003-01-01,1,2003,18.606844143557154,69,Grapes
2003-02-01,2,2003,30.34518056955093,1,Corn
2003-02-01,2,2003,30.090157356533503,176,Grass/Pasture
2003-02-01,2,2003,28.41986907779841,76,Walnuts
2003-02-01,2,2003,27.36831180832386,75,Almonds
2003-02-01,2,2003,26.922389685263212,36,Alfalfa
2003-02-01,2,2003,26.1886964826322,69,Grapes
2003-03-01,3,2003,57.40262236432496,1,Corn
2003-03-01,3,2003,57.90560281015719,176,Grass/Pasture
2003-03-01,3,2003,53.62011195692192,76,Walnuts
2003-03-01,3,2003,53.088617402482036,75,Almonds
2003-03-01,3,2003,50.946473052245054,36,Alfalfa
2003-03-01,3,2003,46.06805775677862,69,Grapes
2003-04-01,4,2003,58.90604046511126,1,Corn
2003-04-01,4,2003,58.78024443391956,176,Grass/Pasture
2003-04-01,4,2003,60.70127967689201,76,Walnuts
2003-04-01,4,2003,58.39463066840172,75,Almonds
2003-04-01,4,2003,53.51097215456559,36,Alfalfa
2003-04-01,4,2003,48.463672761820504,69,Grapes
2003-05-01,5,2003,68.5860330946607,1,Corn
2003-05-01,5,2003,58.766291777016285,176,Grass/Pasture
2003-05-01,5,2003,75.47991128342304,76,Walnuts
2003-05-01,5,2003,62.52426191983223,75,Almonds
2003-05-01,5,2003,54.81723213602968,36,Alfalfa
2003-05-01,5,2003,55.20904453184979,69,Grapes
2003-06-01,6,2003,79.39138030121615,1,Corn
2003-06-01,6,2003,43.96593384069115,176,Grass/Pasture
2003-06-01,6,2003,70.50975778861223,76,Walnuts
2003-06-01,6,2003,59.308060387015345,75,Almonds
2003-06-01,6,2003,51.4865579275923,36,Alfalfa
2003-06-01,6,2003,57.663320050306936,69,Grapes
2003-07-01,7,2003,76.0873055428867,1,Corn
2003-07-01,7,2003,32.5919068955101,176,Grass/Pasture
2003-07-01,7,2003,50.25775190837381,76,Walnuts
2003-07-01,7,2003,42.32548894454241,75,Almonds
2003-07-01,7,2003,40.974521824332676,36,Alfalfa
2003-07-01,7,2003,40.4540898516651,69,Grapes
2003-08-01,8,2003,82.37723778783183,1,Corn
2003-08-01,8,2003,35.53894916567749,176,Grass/Pasture
2003-08-01,8,2003,58.56513354838506,76,Walnuts
2003-08-01,8,2003,53.54237130382061,75,Almonds
2003-08-01,8,2003,51.1111167088367,36,Alfalfa
2003-08-01,8,2003,49.959758349686616,69,Grapes
2003-09-01,9,2003,52.04417994389167,1,Corn
2003-09-01,9,2003,26.189613257594964,176,Grass/Pasture
2003-09-01,9,2003,39.48854474402264,76,Walnuts
2003-09-01,9,2003,36.79350838780403,75,Almonds
2003-09-01,9,2003,36.15880353752074,36,Alfalfa
2003-09-01,9,2003,36.7345844049099,69,Grapes
2003-10-01,10,2003,31.178869502257296,1,Corn
2003-10-01,10,2003,19.414212986299418,176,Grass/Pasture
2003-10-01,10,2003,27.417009170542766,76,Walnuts
2003-10-01,10,2003,24.738930401182174,75,Almonds
2003-10-01,10,2003,23.64174958018192,36,Alfalfa
2003-10-01,10,2003,26.016461874088964,69,Grapes
2003-11-01,11,2003,22.522212012292265,1,Corn
2003-11-01,11,2003,18.75038430770393,176,Grass/Pasture
2003-11-01,11,2003,21.69205004409626,76,Walnuts
2003-11-01,11,2003,21.084859363317488,75,Almonds
2003-11-01,11,2003,19.35950558274096,36,Alfalfa
2003-11-01,11,2003,20.57587540076593,69,Grapes
2003-12-01,12,2003,16.957404569664718,1,Corn
2003-12-01,12,2003,14.227320568723963,176,Grass/Pasture
2003-12-01,12,2003,14.85654796799902,76,Walnuts
2003-12-01,12,2003,15.27054878423214,75,Almonds
2003-12-01,12,2003,14.144520691640407,36,Alfalfa
2003-12-01,12,2003,15.165407597772345,69,Grapes
2004-01-01,1,2004,16.221462980404006,1,Corn
2004-01-01,1,2004,17.54798189240912,176,Grass/Pasture
2004-01-01,1,2004,15.502777574117859,76,Walnuts
2004-01-01,1,2004,15.67531987529993,75,Almonds
2004-01-01,1,2004,14.933704024018498,36,Alfalfa
2004-01-01,1,2004,15.538911277105,69,Grapes
2004-02-01,2,2004,26.397558191265816,1,Corn
2004-02-01,2,2004,25.4051923605017,176,Grass/Pasture
2004-02-01,2,2004,24.821284924611014,76,Walnuts
2004-02-01,2,2004,24.55586450816393,75,Almonds
2004-02-01,2,2004,24.23157921086216,36,Alfalfa
2004-02-01,2,2004,23.71621226898132,69,Grapes
2004-03-01,3,2004,55.532442740522896,1,Corn
2004-03-01,3,2004,52.56376324004439,176,Grass/Pasture
2004-03-01,3,2004,48.41037646723998,76,Walnuts
2004-03-01,3,2004,48.75655583726168,75,Almonds
2004-03-01,3,2004,47.13391253431269,36,Alfalfa
2004-03-01,3,2004,42.37382206049833,69,Grapes
2004-04-01,4,2004,55.593754113702985,1,Corn
2004-04-01,4,2004,51.25867484615227,176,Grass/Pasture
2004-04-01,4,2004,57.606511880961946,76,Walnuts
2004-04-01,4,2004,51.57096949088574,75,Almonds
2004-04-01,4,2004,47.33876096238494,36,Alfalfa
2004-04-01,4,2004,43.69902421493144,69,Grapes
2004-05-01,5,2004,67.37623492510983,1,Corn
2004-05-01,5,2004,49.32589619695022,176,Grass/Pasture
2004-05-01,5,2004,76.07796968605543,76,Walnuts
2004-05-01,5,2004,62.277991047525404,75,Almonds
2004-05-01,5,2004,52.969489059678665,36,Alfalfa
2004-05-01,5,2004,56.54464581584142,69,Grapes
2004-06-01,6,2004,90.84750961307641,1,Corn
2004-06-01,6,2004,43.90224671312484,176,Grass/Pasture
2004-06-01,6,2004,77.04090877602961,76,Walnuts
2004-06-01,6,2004,70.04274466609955,75,Almonds
2004-06-01,6,2004,61.717272116955044,36,Alfalfa
2004-06-01,6,2004,64.09599891204066,69,Grapes
2004-07-01,7,2004,107.22740520446838,1,Corn
2004-07-01,7,2004,40.42840721054853,176,Grass/Pasture
2004-07-01,7,2004,73.22394854992322,76,Walnuts
2004-07-01,7,2004,69.07637909363508,75,Almonds
2004-07-01,7,2004,65.1842568809028,36,Alfalfa
2004-07-01,7,2004,62.251534066663304,69,Grapes
2004-08-01,8,2004,90.80882296138086,1,Corn
2004-08-01,8,2004,36.46797873446897,176,Grass/Pasture
2004-08-01,8,2004,62.3949678878946,76,Walnuts
2004-08-01,8,2004,60.9896587695241,75,Almonds
2004-08-01,8,2004,57.97655688721958,36,Alfalfa
2004-08-01,8,2004,55.13299605545919,69,Grapes
2004-09-01,9,2004,48.23985575647144,1,Corn
2004-09-01,9,2004,25.415263518393242,176,Grass/Pasture
2004-09-01,9,2004,37.42583894315628,76,Walnuts
2004-09-01,9,2004,34.86754365903139,75,Almonds
2004-09-01,9,2004,35.14171668041259,36,Alfalfa
2004-09-01,9,2004,34.5838140410857,69,Grapes
2004-10-01,10,2004,36.12722865418419,1,Corn
2004-10-01,10,2004,25.801440477280018,176,Grass/Pasture
2004-10-01,10,2004,33.7374392284026,76,Walnuts
2004-10-01,10,2004,32.19466662749052,75,Almonds
2004-10-01,10,2004,30.16604259385482,36,Alfalfa
2004-10-01,10,2004,32.914674417539075,69,Grapes
2004-11-01,11,2004,22.204693112072054,1,Corn
2004-11-01,11,2004,22.966521564983466,176,Grass/Pasture
2004-11-01,11,2004,22.01777744053289,76,Walnuts
2004-11-01,11,2004,21.107508531332016,75,Almonds
2004-11-01,11,2004,21.18780792851418,36,Alfalfa
2004-11-01,11,2004,21.97032272267488,69,Grapes
2004-12-01,12,2004,15.316279319507299,1,Corn
2004-12-01,12,2004,18.035553037341344,176,Grass/Pasture
2004-12-01,12,2004,14.480646002382016,76,Walnuts
2004-12-01,12,2004,14.599809335947036,75,Almonds
2004-12-01,12,2004,14.272385647821613,36,Alfalfa
2004-12-01,12,2004,15.11423374503112,69,Grapes
2005-01-01,1,2005,15.56369941220397,1,Corn
2005-01-01,1,2005,20.118464356806797,176,Grass/Pasture
2005-01-01,1,2005,15.037923536530233,76,Walnuts
2005-01-01,1,2005,15.399771415615081,75,Almonds
2005-01-01,1,2005,16.220121128381784,36,Alfalfa
2005-01-01,1,2005,16.649638231874498,69,Grapes
2005-02-01,2,2005,29.766635592167194,1,Corn
2005-02-01,2,2005,30.916476690068396,176,Grass/Pasture
2005-02-01,2,2005,27.991988599629693,76,Walnuts
2005-02-01,2,2005,29.084393550539016,75,Almonds
2005-02-01,2,2005,28.697469219859,36,Alfalfa
2005-02-01,2,2005,29.202396958073244,69,Grapes
2005-03-01,3,2005,50.5707189062467,1,Corn
2005-03-01,3,2005,55.06095334044872,176,Grass/Pasture
2005-03-01,3,2005,47.79919716600555,76,Walnuts
2005-03-01,3,2005,49.80948169527054,75,Almonds
2005-03-01,3,2005,47.25667614751249,36,Alfalfa
2005-03-01,3,2005,44.673488447981434,69,Grapes
2005-04-01,4,2005,61.58290498368033,1,Corn
2005-04-01,4,2005,70.00549926291544,176,Grass/Pasture
2005-04-01,4,2005,68.49430518443883,76,Walnuts
2005-04-01,4,2005,64.54742448735237,75,Almonds
2005-04-01,4,2005,54.837726429141206,36,Alfalfa
2005-04-01,4,2005,54.013836384455196,69,Grapes
2005-05-01,5,2005,70.95347213204745,1,Corn
2005-05-01,5,2005,68.47868936301359,176,Grass/Pasture
2005-05-01,5,2005,83.33301364500502,76,Walnuts
2005-05-01,5,2005,75.09576165206433,75,Almonds
2005-05-01,5,2005,61.982868516596575,36,Alfalfa
2005-05-01,5,2005,68.45977339715012,69,Grapes
2005-06-01,6,2005,81.5837090241385,1,Corn
2005-06-01,6,2005,54.00330676089311,176,Grass/Pasture
2005-06-01,6,2005,82.5719031209351,76,Walnuts
2005-06-01,6,2005,71.84635348677635,75,Almonds
2005-06-01,6,2005,60.61779937571762,36,Alfalfa
2005-06-01,6,2005,68.65926249524301,69,Grapes
2005-07-01,7,2005,96.31743606199056,1,Corn
2005-07-01,7,2005,42.140075549288554,176,Grass/Pasture
2005-07-01,7,2005,66.3390210732853,76,Walnuts
2005-07-01,7,2005,61.51885606639385,75,Almonds
2005-07-01,7,2005,56.60903807003594,36,Alfalfa
2005-07-01,7,2005,59.22350051358712,69,Grapes
2005-08-01,8,2005,82.04756055586722,1,Corn
2005-08-01,8,2005,33.79575611156461,176,Grass/Pasture
2005-08-01,8,2005,50.67872825709496,76,Walnuts
2005-08-01,8,2005,49.70939566294849,75,Almonds
2005-08-01,8,2005,48.939222439873625,36,Alfalfa
2005-08-01,8,2005,49.3523473702679,69,Grapes
2005-09-01,9,2005,60.60191666686928,1,Corn
2005-09-01,9,2005,31.256514455506043,176,Grass/Pasture
2005-09-01,9,2005,45.97498672537288,76,Walnuts
2005-09-01,9,2005,46.51082182109356,75,Almonds
2005-09-01,9,2005,43.84749895823427,36,Alfalfa
2005-09-01,9,2005,46.7908171505745,69,Grapes
2005-10-01,10,2005,36.90748707333327,1,Corn
2005-10-01,10,2005,25.97121319263067,176,Grass/Pasture
2005-10-01,10,2005,34.548295909763794,76,Walnuts
2005-10-01,10,2005,33.19357583394647,75,Almonds
2005-10-01,10,2005,30.688102538598088,36,Alfalfa
2005-10-01,10,2005,35.04273220699681,69,Grapes
2005-11-01,11,2005,20.170279292614904,1,Corn
2005-11-01,11,2005,16.732644852035108,176,Grass/Pasture
2005-11-01,11,2005,20.345738422663644,76,Walnuts
2005-11-01,11,2005,18.21460895007849,75,Almonds
2005-11-01,11,2005,17.46695811566808,36,Alfalfa
2005-11-01,11,2005,18.746743308913068,69,Grapes
2005-12-01,12,2005,15.463795826302999,1,Corn
2005-12-01,12,2005,14.60118053228834,176,Grass/Pasture
2005-12-01,12,2005,13.955897489258316,76,Walnuts
2005-12-01,12,2005,14.650364626425505,75,Almonds
2005-12-01,12,2005,13.49521218863994,36,Alfalfa
2005-12-01,12,2005,14.76478555145835,69,Grapes
2006-01-01,1,2006,22.239696298654263,1,Corn
2006-01-01,1,2006,19.89726700894626,176,Grass/Pasture
2006-01-01,1,2006,18.831765110156812,76,Walnuts
2006-01-01,1,2006,20.201487787187098,75,Almonds
2006-01-01,1,2006,18.73648162522459,36,Alfalfa
2006-01-01,1,2006,20.011145571539224,69,Grapes
2006-02-01,2,2006,28.277010520299275,1,Corn
2006-02-01,2,2006,25.959598065329363,176,Grass/Pasture
2006-02-01,2,2006,24.87970476387614,76,Walnuts
2006-02-01,2,2006,24.268164428138732,75,Almonds
2006-02-01,2,2006,23.72885995948961,36,Alfalfa
2006-02-01,2,2006,23.626337427420477,69,Grapes
2006-03-01,3,2006,43.503592381219725,1,Corn
2006-03-01,3,2006,41.56619512598993,176,Grass/Pasture
2006-03-01,3,2006,39.68652986139412,76,Walnuts
2006-03-01,3,2006,41.17157777781487,75,Almonds
2006-03-01,3,2006,40.15948784858488,36,Alfalfa
2006-03-01,3,2006,38.414586220891024,69,Grapes
2006-04-01,4,2006,61.81944238943058,1,Corn
2006-04-01,4,2006,61.3984373393307,176,Grass/Pasture
2006-04-01,4,2006,58.10329339969036,76,Walnuts
2006-04-01,4,2006,63.50409089255333,75,Almonds
2006-04-01,4,2006,58.11860360601907,36,Alfalfa
2006-04-01,4,2006,55.176533823393406,69,Grapes
2006-05-01,5,2006,71.89847730536819,1,Corn
2006-05-01,5,2006,65.70031800789606,176,Grass/Pasture
2006-05-01,5,2006,77.96212358750408,76,Walnuts
2006-05-01,5,2006,71.61665825972557,75,Almonds
2006-05-01,5,2006,62.291169175378,36,Alfalfa
2006-05-01,5,2006,63.631565204336624,69,Grapes
2006-06-01,6,2006,75.62613929202269,1,Corn
2006-06-01,6,2006,46.10859157631416,176,Grass/Pasture
2006-06-01,6,2006,72.34518306407763,76,Walnuts
2006-06-01,6,2006,63.29290237891674,75,Almonds
2006-06-01,6,2006,53.8935562821208,36,Alfalfa
2006-06-01,6,2006,60.01756064194547,69,Grapes
2006-07-01,7,2006,89.43883494066668,1,Corn
2006-07-01,7,2006,37.01677045259391,176,Grass/Pasture
2006-07-01,7,2006,58.237997780235716,76,Walnuts
2006-07-01,7,2006,53.47293355407715,75,Almonds
2006-07-01,7,2006,50.8649549900641,36,Alfalfa
2006-07-01,7,2006,51.6496976042582,69,Grapes
2006-08-01,8,2006,86.61099468862072,1,Corn
2006-08-01,8,2006,34.281093612248675,176,Grass/Pasture
2006-08-01,8,2006,55.82328320455156,76,Walnuts
2006-08-01,8,2006,54.887805071341994,75,Almonds
2006-08-01,8,2006,53.20414333497055,36,Alfalfa
2006-08-01,8,2006,52.61166892613261,69,Grapes
